Text,Summary
if you want to delete your personal data you have choices log in to your account and delete information you previously added for example you can delete your profile picture and nonprimary addresses in your settings call us and request that we delete specific information close your account,how to delete personal data
if you close your account or request that we delete personal data we still need to keep some personal data so we can complete a transaction provide goods or services you requested or comply with our promises to you in the user agreement or other contract you have with us detect and prevent malicious fraudulent or illegal activity protect your or another persons legal rights including the right to free speech manage our internal business processes that are reasonably related to your expectations when using our services comply with laws,the procedure of delete personal data
depending on where you live and what type of account you use you may have different rights and choices for managing your personal data for example certain state privacy laws do not apply to personal data collected processed or disclosed by a financial institution according to federal laws such as the grammleachbliley act consumers may read our consumer privacy notice for more information about their rights under us federal law,managing data in different states
you may choose to limit the personal data you provide when our apps or services request it to help make choices that are right for you its important to understand that personal data helps us provide a richer more personalized experience for you also some personal data is required for our services to function at all,reasons for collecting personal data
sharing your contacts helps make it easier for you to find the people you want to send money to if you choose not to share your contacts with us you can still use our mobile apps but some actions may not be as fast or easy as it would be if shared your contacts another example is creating an account with us if you choose not to provide information that is required for an account to function like your name and email address we will not be able to create an account for you,why sharing more data will improve the user experience
if you connect your account to a third party service you may be able to manage how your personal data is collected used and shared by them read the third parties privacy policies to see the choices they offer you you can control which third party services you connect to your account and what personal data they can collect about you for example to manage the permissions go to the security settings in your paypal account,data shared with third parties
your choices about how we communicate with you differ depending on the purpose of the message and how it is delivered some messages are considered optional and some are necessary for you to manage your accounts with us we use email text messages push notifications on your mobile device and even paper mail depending on the situation and your preferences,communication options
you can click the unsubscribe link in a marketing email opt out of a text message by replying stop or turn off notifications on your device you can also change your accounts notification settings or the notification preferences on your device,how to unsubscribe to emails services
you will not be able to opt out of messages that are considered necessary for you to manage your account such as receipts and emails that alert you to changes in your accounts status that require your attention you may be able to decide how we send those messages such as by email text message or a notification on your mobile device,necessary emails
we may collect your personal data when you register for or use our services such as when you create an account make a payment or make a purchase on a merchants website,when is registration data collected
if you use our services without creating or logging into an account we will still collect personal data which may include your payment information device information and location when you use our services without creating or logging into an account we will use this information to process transactions prevent fraud and comply with the law we may connect this information with your account if you have one or if you create an account at a later date,the purpose of collecting data for non logged in users
1 information that identifies you for example first and last name address phone number email ip address device information information collected from cookies or other tracking technologies,collecting identification information
2 records and financial information for example social security number governmentissued identification bank account and routing numbers credit and debit card information financial information,collecting financial information
3 personal characteristics for example age national origin disability citizenship military status,collecting personal characteristics information
4 commercial information for example online shopping cart information purchase history,collecting commercial information
5 internet or network activity for example interactions with our services or sites shopping history,collecting network activity information
6 geolocation data for example global positioning system gps information when you give us permission through your device settings ipbased geolocation,collecting location data
7 audio electronic visual biometric or similar information for example call recordings when you talk to customer service voice identification when you consent to this biometric method of authentication photo ids and profile pictures you provide,collecting audio electric visual information
8 professional or employment information for example business information contact emails and phone numbers tax ids,collecting professional data
9 information we infer based on your personal data for example fraud and risk assessments personalization preferences,collecting inferred data
where personal data comes from we may collect personal information about you from various sources for example from you when you use paypal or another paypal service such as xoom or venmo merchants our payment partners such as card networks and payment processors financial institutions such as banks credit bureaus service providers such as companies that help us manage risk and fraud deliver services to you and market our services,where personal data comes from
if you have an account with paypal we will associate information from all these sources with your account to improve your experience and for compliance and analytics purposes,the purpose of collecting information
we do not knowingly collect personal information from people who are not allowed to use our sites and services such as children under the age of 13 contact us if you believe that weve mistakenly collected personal data from someone not allowed to use our services well delete it immediately unless were legally required to keep it,the procedure in case of unwillingly collecting not allowed data
we or our authorized service providers may use cookies and similar tracking technologies to collect personal data whenever you use our services visit our sites or visit websites that offer our services the information collected with these technologies helps us personalize your experience measure the effect of our ads prevent fraud and enhance the security of our sites and service,cookies
you can disable or decline some cookies for our sites and services but since some parts of our service rely on cookies to work those services could become difficult or impossible to use,declining cookies
some web browsers have an optional setting called do not track dnt that lets you optout of being tracked by advertisers and some third parties because many of our services wont function without tracking data we do not respond to dnt settings,the procedure in case of using don?t track sittings in browsers
we collect personal data for many reasons including to improve your experience and to run our business specific reasons why we collect your personal data include,the purpose of collecting data to improve user experience
run our sites and provide better services for example to help you send or request money make purchases show you your account information verify access to your account and keep your account and payment information up to date,the purpose of collecting data to provide better services
manage and improve our business for example we do user research to improve our products performance and abilities we also monitor and analyze our sites to help ensure they work as expected,the purpose of collecting data to manage and improve business
protect our business and our customers from risk and fraud including fraud that involves our business partners strategic ventures or other individuals and merchants such as ebay inc,the purpose of collecting data to protect business from fraud
send you marketing information about our products and services we may use personal data to market about our partners such as merchants we use personal data to better understand and cater to your interests,the purpose of collecting data to send marketing information
personalize your experience when you use our sites and services as well as other thirdparty sites and services in this case we might use tracking technologies like cookies see our cookie statement for more details,the purpose of collecting data to personalize the user experience
send you locally relevant options but only if you agree to let us track your location if you do this can help us enhance the security of our sites and services and customize our services by using the right language and personalizing content such as ads and search results,the purpose of collecting data to send locally relevant options
make it easy for you to find and connect with others for instance if you let us access your contacts we can suggest connections with people you may know,the purpose of collecting data to make connections
contact you when you need us such as answering a question you sent to our customer service team,the purpose of collecting data to contact users
comply with laws and enforce our agreements with you and other people who use our services,the purpose of collecting data to comply with laws
if you choose to receive a digital receipt via email or text when completing a payment instore well remember your choice the next time you checkout with the same payment card,the purpose of collecting data to receive digital receipts
we do not sell your personal data however we may share personal data across our services and with other members of the paypal corporate family sometimes we share the personal data we collect with third parties to help us provide services protect our customers from risk and fraud market our products and comply with legal obligations,the purpose of sharing data to provide more services
we may share personal data with other members of the paypal corporate family including our brands such as venmo,sharing data with other members of paypal
we may share personal data with  service providers that help us with processing payments marketing research compliance audits corporate governance communications and security,sharing data with service providers
we may share personal data with card networks and payment processors,sharing data with card network
we may share personal data with financial institutions such as banks we partner with to offer joint products like synchrony bank in connection with paypal credit paypal savings the paypal cashback mastercard and the paypal extras mastercard,sharing data with financial institutions
we may share personal data with credit reporting and collections agencies,sharing data with card reporting and collections agencies
we may share personal data with courts governments regulators and law enforcement when accompanied by a subpoena or other legal documentation that requires paypal or members of our corporate family to respond,sharing data with courts and governments
we may share personal data with people involved in a transaction such as other users or merchants and their service providers,sharing data with people involved in transactions
we may share personal data with third parties that you asked us to connect with such as other financial or social media apps if you want us to stop sharing information with a third party disconnect your account from that third party,sharing data with connected third parties
we may share personal data with third party tools used to help fight spam and abuse for instance we use recaptcha to help determine whether you are a person or a computer when you use recaptcha your personal data is subject to googles privacy policy and terms of use,the purpose of sharing data with third parties tools that are used to help fight spam and abuse
we may share personal data with other third parties to comply with laws investigate or enforce violations of our user agreement facilitate a merger purchase or sale of part or all of our business comply with card association rules to prevent physical harm or illegal activity,the purpose of sharing data with other third parties to comply with laws investigate
to protect your personal data we use technical physical and administrative security measures that include firewalls data encryption physical access controls at our data centers,how to protect users data using encryption
while we protect our systems and services you are responsible for keeping your passwords and account information private you are also responsible for making sure your personal information is accurate and up to date,how each user protects his personal data
if your account is closed we may keep your personal data and other information as required by law and according to our data retention policy if we do we will continue to handle it as we describe in this statement,how closed accounts data is handled
well make changes to this privacy statement from time to time this helps us stay up to date with changes to our business and the most current laws after a new version is published well collect store use and protect your personal data as we outline in that revised statement, how is the privacy policy updated
we may notify you about these changes through email or other communications,how users are notified about changes
we will also share your personal information with companies that help us run our business by processing personal information on behalf of adobe for the purposes identified above such companies include providers of customer support services payment processing services fraud monitoring and prevention email social media and other marketing platforms and service providers and hosting services we require these companies to protect your personal information consistent with this privacy policy,sharing personal data with companies that run business
some of the information that we along with any third party services collect about our visitors as detailed in this privacy policy is stored as cookies in your web browser cookies are a way for websites to remember something about you and most websites require at least some cookies to function properly and provide you with the best experience to learn more about cookies including how to control and disable cookies in your browser please visit the cookies and you website,cookies
as with most websites photoshop essentialscom keeps a record of the activity on our website both for security purposes and to help troubleshoot any performance issues with our site this record is stored in log files,the purpose of keeping log files
the personal information we record about you as a visitor to our site includes your ip internet protocol address your isp internet service provider such as aol or shaw cable the browser you used to visit our site such as internet explorer or firefox the day and time of your visit whether you were using a desktop mobile or tablet device and which pages you visited the information in our log files is deleted at regular intervals,what are the logged information
our log files are stored on a secure server operated by our web hosting company media temple media temple is privacy shield certified to comply with data protection requirements you can learn more about privacy shield and view a list of privacy shield certified companies on the privacy shield website,where are the log files stored
no information collected in our contact form including your name email address or message is stored on our server once the form is submitted the information provided by you is sent to us as an email and no other record of the submission is kept your name and email address is not shared with anyone,contact forms information is not stored
photoshop essentialscom offers membership to our website granting members full access to all of our photoshop tutorials as pdfs to enable and manage your membership certain personal information about you is required this includes your name and email address along with your chosen password when you log into our website using your account your ip address is recorded for security purposes we do not share any personal information about our members with any third parties,the purpose of collecting memberships data
member information is stored on a secure server provided by our web hosting company media temple media temple is privacy shield certified to comply with data protection requirements,where is member information stored
all financial transactions on photoshop essentialscom including payments for memberships to our site are handled by paypal using paypals secure servers any personal information required by paypal is required by paypal only not by photoshop essentialscom we are not involved in the financial transaction process and paypal does not provide us with any financial information about our members we are notified by paypal only when a financial transaction has been approved at which point the membership setup process is completed if a transaction is declined we are not provided with any information as to the reason why no financial information about our visitors is obtained by photoshop essentialscom or stored anywhere on our servers,the procedure of handling membership payments
when your membership expires your member information is not automatically deleted it is kept on file in case you wish to renew your membership with us in the future we do not store your member information for any other reason and we do not share it with any third parties,why members information is not deleted automatically when memberships expire
if you have an account on photoshop essentialscom you can request to receive an exported file of the personal data we hold about you including any data you have provided to us you can also request that we erase any personal data we hold about you this does not include any data we are obliged to keep for administrative legal or security purposes please note that we are not able to delete your information while your membership is active as this would prevent you from accessing your account, requesting a copy of personal information
to request a copy of the data we have on file for you or to request that the data be deleted for expired or inactive memberships only please contact us either through our contact page or by emailing us at infophotoshopessentialscom,how to request a copy of data
photoshop essentialscom offers a free newsletter to which visitors can subscribe and be notified of our latest photoshop tutorials to subscribe to our newsletter we need to obtain your email address the newsletter is then sent to the email address you provided,what are the information needed to subscribe to newsletters
for privacy and to combat fraud we require that you grant us explicit permission to add you to our mailing list this is done by confirming your email address using the link provided in the email we send to you only upon confirmation of your email address will you be added to our mailing list and begin receiving our newsletter,the purpose for adding users to the mailing list
if you choose to unsubscribe from our newsletter your email address will be deleted from our mailing list we do not keep email addresses for unsubscribed users on file,deleting email addresses for unsubscribed users
comments are disabled on photoshop essentialscom,comments
these websites may collect data about you use cookies embed additional third party tracking and monitor your interaction with that embedded content including tracing your interaction with the embedded content if you have an account and are logged in to that website,collecting data by third parties
the best way we have for knowing how well we are doing is by the number of visitors our website receives to learn this information we use google analytics a free service provided by google google analytics tracks information such as the number of visitors that each page on our site receives the general location of our visitors the number of pages viewed by a visitor and the amount of time a visitor spent on our site,the purpose of using google analytics
google analytics does not track any personally identifiable information about you as a user it provides only generalized information,how does google analytics work
google analytics uses cookies to learn more about cookies and how to control and disable cookies in your web browser please visit the cookies website,cookies for google analytics
as a user of google analytics we do not and will not allow any third party to use google analytics to track collect or upload any data that personally identifies an individual such as a name email address or billing information or other data which can be reasonably linked to such information by google we include this page to outline our privacy policy and we comply with all applicable laws and regulations relating to the collection of information from visitors,protecting users data while using google analytics
photoshop essentialscom is provided as a free service to our visitors to help monetize our website we use google adsense to display ads some of the advertisers may use technology such as cookies and web beacons to send these advertisers information about you including your ip address your internet service provider the browser you used to visit our site and in some cases whether you have flash installed this is generally used for geotargeting purposes showing new york real estate ads to someone in new york for example or for showing certain ads based on other sites youve visited such as showing gardening ads to someone who frequents gardening websites,using google adsense to monetize the website
we also may use dart cookies for ad serving through googles doubleclick which places a cookie on your computer when you are browsing the web and visit a site using doubleclick advertising including some google adsense advertisements this cookie is used to serve ads specific to you and your interests interest based targeting the ads served will be targeted based on your previous browsing history for example if you have been viewing sites about visiting las vegas you may see las vegas hotel advertisements when viewing a nonrelated site such as on a site about hockey dart uses non personally identifiable information it does not track personal information about you such as your name email address physical address telephone number social security numbers bank account numbers or credit card numbers to learn more visit the doubleclick website,dart cookies
there are two main types of ads that google adsense can display personalized ads and nonpersonalized ads personalized ads are more useful to you because they are based on your interests demographics and other criteria personalized ads use cookies to provide advertisers with this information nonpersonalized ads are less useful because they are based only on the content of the web page you are visiting while nonpersonalized ads still use cookies to allow for frequency capping aggregated ad reporting and to combat fraud and abuse they do not track any personally identifiable information about you,the purpose for using personalized and nonpersonalized ads
when you sign up for or use our products you voluntarily give us certain information this can include your name profile photo pins comments likes the email address or phone number you used to sign up and any other information you provide us if you are using pinterest on your mobile device you can also choose to provide us with location data and if you choose to buy something on pinterest you provide us with payment information contact information ex address and phone number and what you purchased if you buy something for someone else on pinterest youd also provide us with their shipping details and contact information,what is personal information
you also may give us permission to access your information in other services for example you may link your facebook or twitter account to pinterest which allows us to obtain information from those accounts like your friends or contacts the information we get from those services often depends on your settings or their privacy policies so be sure to check what those are,information obtained from linked services
log data when you use pinterest our servers automatically record information log data including information that your browser sends whenever you visit a website or your mobile app sends when you are using it this log data may include your internet protocol address the address of the web pages you visited that had pinterest features browser type and settings the date and time of your request how you used pinterest and cookie data,collecting log data
cookie data depending on how youre accessing our products we may use cookies small text files sent by your computer each time you visit our website unique to your pinterest account or your browser or similar technologies to record log data when we use cookies we may use session cookies that last until you close your browser or persistent cookies that last until you or your browser delete them for example we may use cookies to store your language preferences or other pinterest settings so you dont have to set them up every time you visit pinterest some of the cookies we use are associated with your pinterest account including personal information about you such as the email address you gave us and other cookies are not for more detailed information about how we use cookies please review our cookies policy,cookies
device information in addition to log data we may also collect information about the device you are using pinterest on including what type of device it is what operating system you are using device settings unique device identifiers and crash data whether we collect some or all of this information often depends on what type of device you are using and its settings for example different types of information are available depending on whether you are using a mac or a pc or an iphone or an android phone to learn more about what information your device makes available to us please also check the policies of your device manufacturer or software provider,collecting device information
we may get information about you and your activity off pinterest from our affiliates advertisers partners and other third parties we work with for example some websites or apps use pinterest features like our save button if so we may collect log information described above from those sites or apps,collecting data from affiliates advertisers
online advertisers typically share information with the websites or apps where they run ads to measure and or improve those ads we also receive this information which may include information like whether clicks on ads led to purchases or a list of criteria to use in targeting ads,how does affiliates advertisers share information
we use the information we collect to provide our products to you and make them better develop new products and protect pinterest and our users for example we may log how often people use two different versions of a product which can help us understand which version is better if you make a purchase on pinterest well save your payment information and contact information so that you can use them the next time you want to buy something on pinterest,the purpose of saving information to provide products
we also use the information we collect to offer you customized content including suggesting pins or boards you might like for example if youve indicated that youre interested in cooking or visited recipe websites that have pinterest features we may suggest foodrelated pins boards or people that we think you might like showing you ads you might be interested in for example if you purchased a camping tent on pinterest we may show you ads for other outdoorsy products,why information is saved to offer customized content
send you updates such as when certain activity like repins or comments happens on pinterest newsletters marketing materials and other information that may be of interest to you for example depending on your email notification settings we may send you weekly updates that include pins you may like you can decide to stop getting these updates by updating your account settings or through other settings we may provide,the purpose of saving information to send updates
help your friends and contacts find you on pinterest for example if you sign up using a facebook account we may help your facebook friends find your account on pinterest when they first sign up for pinterest or we may allow people to search for your account on pinterest using your email address, the purpose of saving information to help contacts find you
pinterest is a worldwide service by using our products or services you authorize us to transfer and store your information outside of your home country including in the united states for the purposes described in this policy the privacy protections and the rights of authorities to access your personal information in such countries may not be equivalent to those in your home country,where data is stored 
choose whether pinterest will be customized for you using information from offpinterest websites or apps if you have a pinterest account and want to control how your offpinterest data is used to tailor your experience you can visit your account settings and update your preferences if you do not have a pinterest account or do not want us to customize pinterest for you when you are signed out you can opt out here,offpintrest sites
choose whether your purchases on pinterest will be used to customize recommendations and ads for you you can view and manage your purchase history by going to order history in your account settings and if you hide a purchase from your history we will not use it to customize pinterest for you,the process of managing purchases
also we support the do not track browser setting and you can learn more about how it affects our collection and use of offpinterest data,supporting the do not track browser sitting
close your account at any time when you close your account we will deactivate it and remove your pins and boards from pinterest we may retain archived copies of your information as required by law or for legitimate business purposes including to help address fraud and spam,the process of deleting an account
anyone can see the public boards and pins you create and the profile information you give us we may also make this public information available through what are called apis basically a technical way to share information quickly for example a partner might use a pinterest api to study what their most popular pins are or how their pins are being shared on pinterest the other limited instances where we may share your personal information include,sharing data using pinterest api
when we have your consent this includes sharing information with other services like facebook or twitter when you have chosen to link to your pinterest account to those services or publish your activity on pinterest to them for example you can choose to publish your pins to facebook or twitter,sharing information with other services with consent
when you buy something on pinterest using your credit card we may share your credit card information contact information and other information about the transaction with the merchant you are buying from the merchants treat this information just as if you had made a purchase from their website directly which means their privacy policies and marketing policies apply to the information we share with them,the process of handling purchase operations
if you buy something on pinterest using apple pay your credit card number is not shared with the merchant but contact and transaction information is still shared,the process of paying using apple pay
online advertisers typically use third party companies to audit the delivery and performance of their ads on websites and apps we also allow these companies to collect this information on pinterest to learn more please see our help center,the purpose of collecting data for online advertisers to audit their performance
we may employ third party companies or individuals to process personal information on our behalf based on our instructions and in compliance with this privacy policy for example we share credit card information with the payment companies we use to store your payment information or we may share data with a security consultant to help us get better at identifying spam in addition some of the information we request may be collected by third party providers on our behalf for more information about the providers we use please see our help center,the purpose of hiring third party companies or individuals to process personal information
if we believe that disclosure is reasonably necessary to comply with a law regulation or legal request to protect the safety rights or property of the public any person or pinterest or to detect prevent or otherwise address fraud security or technical issues we may share the information described in this policy with our wholly owned subsidiaries and affiliates we may engage in a merger acquisition bankruptcy dissolution reorganization or similar transaction or proceeding that involves the transfer of the information described in this policy we may also share aggregated or nonpersonally identifiable information with our partners advertisers or others for example we may tell an advertiser on pinterest how many people saved something they shared or the percentage of people who click on a pin after viewing it,the purpose of sharing data to comply with law regulations and legal request
you do not have to create an account to use some of our service features such as searching and viewing public presentations if you do choose to create an account and become a member you must provide us with some personal data so that we can provide our services to you including your name email address and or phone number occupation title and a password,what is personal data
in order to gain access to specific premium features within our services you must provide us with payment information including your credit or debit card number card expiration date cvv code and billing address,what are payment information
the services also include our customer support where you may choose to submit information regarding a problem you are experiencing for example if you designate yourself as a technical contact open a support ticket speak to one of our representatives directly or otherwise engage with our support team you will be asked to provide contact information a summary of the problem you are experiencing and any other documentation screenshots or information that would be helpful in resolving the issue,support information
from time to time we may ask our registered users or visitors to participate in surveys these surveys are optional if you choose to participate any information you provide to us including personal information will be linked with your account in our system if you would not like your information to be used in this way you have the option to not participate in surveys or if you do participate to provide us only with information you consent to our use of in accordance with this privacy policy,collecting data from survey information
some components of the services allow you and others to share user content and send personal messages with other registered users and nonregistered users to use this feature you must provide us with personal information about others including an email address for each recipient for example when collaborating on a presentation you may want feedback from other team members or nonteam members and you can do so by adding those members as collaborators,sending personal messages between users
we receive information about you when you or your administrator integrate or link a third party service with our services including information from the third party who provides the linked service for example if you create an account or log into the services using your google credentials we receive your name and email address as permitted by your google profile settings in order to authenticate you we also provide options within the services that enable you to link to services such as slack and salesforce so you can receive real time notifications and integrate content within those platforms to learn more about these third parties privacy practices please consult their privacy policies,collecting data related to linked third parties
we receive information when you view content on or otherwise interact with the services even if you are a visitor for example when you visit our websites sign into our services interact with our email notifications or visit a third party service that includes content from our services we may receive information about you or combine such information with other personal information this service usage information includes data such as your ip address browser type operating system the referring web page pages visited within our services location your mobile carrier device information including device and application ids search terms and cookie information,collecting data when interaction with services
a cookie is a small amount of information that a website you visit stores on your computer or device like many websites we our service providers linked services and third party content that appears on our services may use cookies to collect additional website usage data and to operate our services cookies are not required for many parts of our services such as viewing public content you can control at any time what cookies you allow through your browser settings and other tools however some of our services may not function properly if you disable cookies when your browser or device allows it we use both session cookies and persistent cookies to better understand how you interact with our services and to monitor aggregate usage patterns you can read further information about how we use cookies as described in our cookie policy,cookies
the services our service providers linked services and third party content that appears on our services may use other tracking tools including socalled pixel tags web beacons web bugs clear gifs etc collectively web beacons to collect information about your activities on the services these are small electronic images embedded in web content and email messages and are ordinarily not visible to users like cookies web beacons enable us and our service providers to track pages and content accessed and viewed by users also when we send html for matted as opposed to plain text emails to you web beacons may be embedded in such emails to allow us to monitor readership levels so that we can identify aggregate trends and individual usage to provide our audiences with more relevant content or offers web beacons in emails may recognize activities such as when an email was opened how many times an email was forwarded which links in the email were clicked etc web beacons cannot be declined when delivered via a regular web page however web beacons can be refused when delivered via email if you do not wish to receive web beacons via email you will need to disable html images or refuse html select text only emails via your email software,web beacons
subject to your settings if you view or click on an advertisement that we have placed on our services or the site of a third party the ad provider will learn that someone visited the page that displayed the ad may receive information about you such as your ip address and may through that information or the use of other mechanisms such as cookies be able to personally identify you our advertising partners may share information they collect in connection with our advertising including personal information with us,the process of collecting data through advertisements
one of our service providers is google analytics which collects information such as how often users visit this site what pages they visit when they do so and what other sites they used prior to coming to this site to learn more about how google analytics collects and uses your data when you use the service and how you can control the information sent to google analytics please review,using google analytics to collect data
our services are dynamic and we often introduce new features which may require the collection of new information if we collect materially different personal information or materially change how we use your data we will notify you and may also modify this privacy policy,notification in case of changing adding new features
we do not intentionally collect information from registered users or visitors under the age of 13 we do not intentionally collect sensitive personal information such as social security numbers genetic data health information or religious information although we do not request or intentionally collect any sensitive personal information we realize that you might store this kind of information in your account such as in a presentation and or infographic if you store any sensitive personal information on our servers you are consenting to our storage processing and use of that information in accordance with this privacy policy,no collection of sensitive data intentionally
we use the information we collect including account payment contact and support information to provide the services to you including to process transactions with you authenticate you when you log in provide customer support and operate and maintain the services,the purpose of collecting information to provide services
also use service usage information to operate our services and ensure their secure reliable and robust performance for example we use the information to protect the security of accounts and to determine what content is popular on our services,the purpose of using information for ensuring security
we use the information we collect including account service usage and survey information to conduct research and development for the further development of our services in order to provide the services to you and others,the purpose of using information for conducting research
we use collective learnings about how people use our services and feedback provided directly to us to troubleshoot and to identify trends usage activity patterns and areas for integration and improvement of the services in some cases we apply these learnings across our services to improve and develop similar features or to better integrate the services you use we also test and analyze certain new features with some users before rolling the feature out to all users,the purpose of using information for identifying trends
aggregate insights we may also use the information we collect to produce and share aggregated insights that do not identify you for example we may choose to publish statistics regarding how many members live in the us versus how many live in europe if you complete a survey that asks for employment information we may publish statistics regarding which professions are most likely to use or not use our services,the purpose of using information for aggregating insights
services communications we use the information we collect including account and contact information to send communications via email phone and within the services including confirming your purchases reminding you of subscription expirations responding to your comments questions and requests providing customer support and sending you technical notices updates security alerts and administrative messages  we send you email notifications when you or others interact with you on the services for example when you are mentioned on a comment we also provide tailored communications based on your activity and interactions with us  for example certain actions you take in the services may automatically trigger a feature or thirdparty app suggestion within the services that would make that task easier  we also send you communications as you onboard to a particular service to help you become more proficient in using that service  these communications are part of the services and in most cases you cannot opt out of them  if an opt out is available you will find that option within the communication itself or in your account settings,the purpose of using information for communication
Marketing we use the information we collect including account contact service usage and survey information to send you information or materials via email about products offers and news we think might interest you in specific cases where we have your consent and you have provided us additional contact information we may contact you through other channels including telephone these communications are aimed at driving engagement and maximizing what you get out of the services including information about new features survey requests newsletters and events we think may be of interest to you  we also communicate with you about new product offers promotions and contests of prezi inc or its licensees or selected commercial partners you can control whether you receive these communications as described below under your choices  obligations section,the purpose of using information for marketing
for customer support we use the information we collect including service usage information which can include your communications to investigate respond to and resolve complaints and service issues eg bugs, the purpose of using information for resolving complaints
for advertising we use the information we collect including account and contact information to target ads to registered users visitors and others through a variety of advertising partners in some cases we also use information including service usage information and information from web beacons pixels and cookies and device identifiers that we collect as mentioned above to better understand how to promote and advertise our services to you, the purpose of using information for advertising
for safety and security we use the information we collect including account payment and service usage information including your communications to verify accounts and activity to monitor suspicious or fraudulent activity and to identify violations of service policies including our terms of service or this privacy policy andor attempts to harm our members or visitors} ? the purpose of using information for safety and security
to protect legitimate interests and legal rights where required by law or where we believe it is necessary to protect our legal rights legitimate interests and those of others we may use or disclose information about you in connection with legal claims compliance regulatory and audit functions and in connection with the acquisition merger or sale of a business,the purpose of using information for legitimate purposes
we use information about you where you have given us consent to do so for a specific purpose not listed above for example we may publish testimonials or featured customer stories to promote the services with your permission,sharing information for any different purposes after giving consent
collaborating with others within our services you can create content which may contain account and contact information and grant permission to others to see share edit copy and download that content based on settings you or your administrator if applicable select some of the collaboration features of the services display some or all of your profile information to other service users when you share or interact with specific content you can confirm whether certain service properties are publicly visible from within the services or by contacting the relevant administrator,how data is collected
sharing of public content we enable the sharing of user content on our services if your content is public facing third parties may access and use it we do not sell that content it is yours however we do allow third parties such as search engines eg google archives and other members of the public to access and compile public facing information,the process of dealing with public content
managed accounts and administrators if you register for or access the services using an account that is associated with a team or organization information about you including your account service usage and user content will be accessible to that organizations administrator in order to enable sharing and collaboration within an organization we also share your account information with other registered users within the same organization,sharing account information between organizations
community forums our websites offer publicly accessible blogs and forums you should be aware that any information you provide on these websites including profile information associated with the account you use to post the information may be read collected and used by any member of the public who accesses these websites your posts and certain profile information may remain even after you terminate your account we urge you to consider the sensitivity of any information you input into these services,forum information
service providers we use others to help us provide our services this includes to help us do application development hosting maintenance backup storage virtual infrastructure payment processing marketing and analysis third party service providers have access to your information as reasonably necessary to perform these tasks on our behalf and are obligated not to disclose or use it for other purposes all our service providers must meet our security and privacy standards before they gain access to any of your information,the purpose of sharing information with other service providers
our partners we work with third parties who provide consulting sales and technical services to deliver and implement customer solutions around the services we may share your information with these third parties in connection with their services such as to assist with billing and collections to provide localized support and to provide customizations we may also share information with third parties where you have agreed to that sharing,the purpose of sharing information with third parties
advertising partners we work with several third party advertisers and or ad networks to place ads promoting our services on their platforms the types of information we share with advertising partners include device identifiers eg session information or your contact information based on your consent you can control whether we may share this information with our advertising partners as described below under your choices obligations section,the purpose if sharing information with third parties advertisers
linked services in the event you opt to link your account with third party services personal information including account information eg full name email address username will become available to them the sharing and use of that personal information will be described in or linked to a consent screen when you opt to link the accounts,sharing information with linked services
with your consent we share information about you with third parties when you give us consent to do so,sharing information with third parties after giving consent
law harm and the public interest we may share information about you with a third party if we believe that sharing is reasonably necessary to a comply with any applicable law regulation legal process or governmental request including to meet national security requirements b enforce our agreements policies and terms of service c protect the security or integrity of our services d protect us our customers or the public from harm or illegal activities or e respond to an emergency which we believe in good faith requires us to disclose information to assist in preventing the death or serious bodily injury of any person,the reason for sharing information with third in case of legal processes
prezi inc companies we share information we have about you with other prezi inc affiliates including infogram in order to operate and improve products and services and to offer other prezi inc affiliated services to you,the purpose of sharing information with other prezi affiliates to offer other services
business transfers we may share or transfer information we collect under this privacy policy in connection with any merger sale of company assets financing or acquisition of all or a portion of our business to another company you will be notified via email and or a prominent notice on the services if a transaction takes place as well as any choices you may have regarding your information,sharing information in case of company sale or acquisition
update or correct data you can edit some of your personal information through your account you can also ask us to change update or fix your data in certain cases particularly if its inaccurate,updating personal data
delete data you can ask us to erase or delete your personal information in some cases for example information previously posted in public areas it may not be practical or may be unduly burdensome to delete user data in the event that we may not delete your information we will inform you,deleting personal data
object to or limit or restrict use of data you can ask us to stop using all or some of your personal data eg if we have no legal right to keep using it or to limit our use of it eg if your personal data is inaccurate or unlawfully held,reasons for restricting usage of data
access and or take your data you can ask us for a copy of your personal data you provided in machine readable form,requesting personal data
account closure you may cancel your account and you may opt out of receiving marketing emails from us at any time in order to cancel your account opt out of or modify your personal information you must do so by logging in and visiting your settings  account page and following the instructions provided or go to our help support page we encourage you promptly to update your personal information when it changes information concerning your past behavior with the services may be retained by us as long as necessary for the purposes set out above,the process of canceling accounts
general security in order to protect both the personal information and the general information that we receive from you through your use of the services we have implemented various security measures for example when you enter personal information such as your contact information on our online forms we encrypt that information using transport layer security tls we also follow generally accepted industry standards to protect the personal information submitted to us both during transmission and once we receive it,how to protect the security of users
how long we keep your information we will only retain your information to the extent a it is needed for the purposes which we have conveyed to you b we are required by law to maintain such information or c it is needed for us to address any issues or inquiries that you may have when your information is no longer required we will dispose of such information by destroying it or erasing it, how long does prezi keep the personal information
